Country;B2;q22c_rec;TSC_682;q1_rec;q3_rec;q31_rec;q25_rec;q27_rec;b14_rec;b20_rec;b1_rec;b2_rec
1;19;4;2;9;9;9;99;99;9;4;1;1
1;31;4;2;3;9;9;99;99;9;3;2;2
1;36;4;2;2;9;9;99;99;9;1;1;2
1;38;4;2;9;1;9;99;99;1;1;2;2
1;55;4;2;1;2;9;99;99;3;4;1;3
1;34;4;2;2;9;9;99;99;9;1;1;2
1;76;2;2;3;1;1;1;4;3;1;2;4
1;46;1;2;2;2;1;1;3;2;4;1;3
1;37;1;3;3;1;9;99;99;1;3;2;2
1;23;4;2;9;1;9;99;99;9;1;2;1
1;77;2;2;2;2;1;99;4;2;4;1;4
1;18;1;1;1;1;9;99;99;2;1;2;1
1;16;1;3;3;1;2;6;2;2;3;2;1
1;47;4;2;2;9;9;99;2;1;3;1;3
1;77;4;2;1;9;6;99;4;1;1;1;4
1;17;4;2;1;9;9;99;99;9;3;2;1
1;35;1;1;1;9;6;99;99;2;3;1;2
1;66;4;2;3;1;6;99;3;2;3;2;4
1;62;3;4;2;1;3;99;2;2;1;1;3
1;57;4;2;2;1;1;2;4;2;4;1;3
1;40;4;2;2;1;6;99;2;3;1;1;2
1;16;4;2;3;1;9;99;99;3;1;2;1
1;50;4;2;9;9;9;99;99;9;1;2;3
1;72;4;2;9;9;9;99;99;2;4;2;4
1;81;4;2;9;1;9;99;99;3;3;2;4
1;42;4;2;2;1;9;99;99;1;3;2;2
1;61;4;2;2;9;9;99;99;9;1;1;3
1;28;4;2;9;9;9;99;99;9;1;1;2
1;76;4;2;1;9;9;99;99;1;1;2;4
1;57;3;4;9;1;9;99;99;1;3;1;3
1;59;4;2;1;1;9;99;99;3;3;1;3
1;52;4;2;3;1;2;99;2;1;1;2;3
1;61;3;4;1;2;1;99;99;3;2;1;3
1;58;4;2;3;9;6;99;99;9;3;2;3
1;61;4;2;9;9;9;99;99;1;4;2;3
1;74;3;4;2;9;9;99;2;1;3;2;4
1;36;4;2;1;2;9;99;99;1;1;1;2
1;60;2;1;3;1;6;99;2;2;3;2;3
1;37;2;2;3;1;9;99;99;1;1;2;2
1;24;4;2;9;9;9;99;99;9;4;1;1
1;33;3;4;2;2;1;99;99;2;1;2;2
1;62;3;4;2;1;6;99;2;3;1;1;3
1;38;1;1;9;2;9;99;3;1;4;2;2
1;69;4;2;2;1;1;99;3;2;1;1;4
1;48;4;2;3;1;9;99;99;9;1;2;3
1;77;2;2;2;1;9;99;4;3;3;2;4
1;40;1;1;2;1;9;99;4;3;3;2;2
1;55;1;2;3;1;2;99;4;2;1;2;3
1;67;1;3;3;1;3;6;99;3;1;2;4
1;52;3;4;1;2;1;3;4;2;1;1;3
1;67;1;1;3;2;6;3;2;3;1;2;4
1;78;4;2;1;2;6;3;2;2;3;1;4
1;24;1;1;3;1;3;6;2;1;3;2;1
1;55;4;1;2;1;6;3;2;1;3;2;3
1;61;4;2;2;1;6;99;99;1;3;1;3
1;77;4;2;2;1;6;99;2;1;1;1;4
1;71;3;4;2;2;9;99;2;1;1;1;4
1;46;1;1;1;2;9;99;4;1;3;1;3
1;54;4;2;3;9;9;99;99;9;1;2;3
1;44;1;1;2;1;2;99;2;3;1;2;2
1;44;2;2;3;1;1;2;2;2;1;2;2
1;43;4;2;3;1;1;99;2;1;3;2;2
1;71;2;2;3;1;6;1;5;3;1;1;4
1;48;1;1;2;1;2;99;2;1;1;2;3
1;40;4;2;2;9;6;99;4;9;3;1;2
1;43;1;1;2;1;2;5;2;3;1;2;2
1;75;1;1;2;1;4;3;3;2;1;1;4
1;64;2;2;2;2;2;3;99;2;1;1;3
1;21;1;1;2;1;1;3;2;1;3;2;1
1;35;1;1;2;1;6;6;2;3;1;2;2
1;19;3;4;3;2;2;6;2;2;3;1;1
1;71;2;2;3;1;3;3;4;2;1;2;4
1;22;2;2;1;1;6;3;2;2;4;1;1
1;44;2;2;3;1;4;5;4;2;2;1;2
1;41;1;1;3;1;9;6;99;1;1;2;2
1;54;2;2;1;1;1;3;4;1;2;2;3
1;55;2;2;2;2;2;2;4;3;1;2;3
1;19;3;2;2;1;9;3;2;3;1;2;1
1;40;4;2;1;1;9;99;4;2;4;1;2
1;72;2;1;2;2;2;2;3;2;1;2;4
1;57;1;2;2;1;9;99;3;2;4;1;3
1;56;2;2;3;1;4;2;2;2;3;2;3
1;17;2;2;1;1;6;3;3;2;3;2;1
1;53;4;2;3;1;9;99;2;2;4;2;3
1;55;3;4;2;2;2;3;4;1;2;2;3
1;65;4;2;2;1;1;3;2;2;3;2;4
1;38;1;1;3;1;6;6;2;1;4;1;2
1;64;1;1;1;1;9;99;99;3;4;2;3
1;41;4;2;3;1;6;99;99;2;1;2;2
1;47;2;1;9;1;9;99;4;1;4;2;3
1;51;1;1;3;2;9;6;3;2;4;1;3
1;24;1;1;3;1;6;99;99;3;1;2;1
1;51;2;2;2;1;2;99;4;1;3;2;3
1;57;3;4;3;1;6;99;99;2;3;2;3
1;57;2;2;3;1;6;1;5;1;3;2;3
1;41;4;2;1;1;9;99;99;1;3;2;2
1;79;2;1;1;1;9;99;3;2;1;1;4
1;45;1;2;1;2;9;99;2;1;3;1;3
1;57;3;4;3;1;9;99;2;1;1;1;3
1;38;4;2;3;1;1;99;99;2;1;2;2
1;61;2;1;3;2;1;5;2;3;1;2;3
1;32;4;2;2;1;9;99;4;1;4;2;2
1;45;4;2;1;2;9;99;99;9;4;2;3
1;75;2;1;3;1;4;3;3;3;1;1;4
1;43;1;1;2;1;6;99;4;1;1;2;2
1;60;1;3;3;1;6;6;4;3;3;1;3
1;38;2;2;3;9;2;3;2;2;4;2;2
1;76;1;1;2;1;4;2;4;2;3;2;4
1;42;4;1;3;1;1;99;99;2;1;2;2
1;73;2;1;1;2;2;2;3;2;2;1;4
1;28;1;3;1;1;1;5;2;3;1;1;2
1;57;2;2;3;2;4;1;4;9;2;2;3
1;35;1;1;2;1;2;99;2;2;4;2;2
1;20;2;2;2;1;9;3;99;9;3;2;1
1;17;1;2;2;1;1;99;2;3;1;2;1
1;33;2;2;1;1;6;99;99;9;1;2;2
1;32;4;2;1;9;9;99;99;9;3;2;2
1;65;1;1;2;1;9;4;2;3;1;1;4
1;52;2;1;2;2;9;99;99;3;4;1;3
1;58;1;1;3;1;1;2;2;1;3;1;3
1;73;1;1;1;2;3;4;2;1;3;1;4
